class_name                                            ,class_id    ,recurring          ,credit_hours ,prereqs                                                                           ,requirement_designation                ,campus ,class_desc
Research                                              ,CS599RQINZH ,fall/spring        ,           9 ,                                                                                  ,                                       ,EM     ,Thesis Research (Pre-Candidacy)
Research                                              ,CS599RRANYO ,fall/spring        ,           9 ,                                                                                  ,                                       ,EM     ,Thesis Research (Pre-Candidacy)
Research                                              ,CS599RREYMA ,fall/spring        ,           9 ,                                                                                  ,                                       ,EM     ,Thesis Research (Pre-Candidacy)
Research                                              ,CS599RSAMRE ,fall/spring        ,           9 ,                                                                                  ,                                       ,EM     ,Thesis Research (Pre-Candidacy)
Research                                              ,CS599RSARAB ,fall/spring        ,           9 ,                                                                                  ,                                       ,EM     ,Thesis Research (Pre-Candidacy)
Research                                              ,CS599RWALEM ,fall/spring        ,           9 ,                                                                                  ,                                       ,EM     ,Thesis Research (Pre-Candidacy)
Research                                              ,CS599RWALLA ,fall/spring        ,           9 ,                                                                                  ,                                       ,EM     ,Thesis Research (Pre-Candidacy)
Research                                              ,CS599RWANYU ,fall/spring        ,           9 ,                                                                                  ,                                       ,EM     ,Thesis Research (Pre-Candidacy)
Research                                              ,CS599RZHALI ,fall/spring        ,           9 ,                                                                                  ,                                       ,EM     ,Thesis Research (Pre-Candidacy)
Graduate Seminar                                      ,CS700R      ,                   ,           1 ,                                                                                  ,                                       ,EM     ,"This is a required course for all students in the PhD program. It comprises seminars given by faculty, invited guests, and students."
Graduate Seminar                                      ,CS700R      ,                   ,           1 ,                                                                                  ,                                       ,EM     ,"This is a required course for all students in the PhD program. It comprises seminars given by faculty, invited guests, and students."
Dissertation Research                                 ,CS799R      ,fall/spring        ,           9 ,                                                                                  ,                                       ,EM     ,
Dissertation Research                                 ,CS799R      ,fall/spring        ,           9 ,                                                                                  ,                                       ,EM     ,
Dissertation Research                                 ,CS799R      ,fall/spring        ,           9 ,                                                                                  ,                                       ,EM     ,
Dissertation Research                                 ,CS799R      ,fall/spring        ,           9 ,                                                                                  ,                                       ,EM     ,
Dissertation Research                                 ,CS799RAGIYE ,fall/spring        ,           9 ,                                                                                  ,                                       ,EM     ,
Dissertation Research                                 ,CS799RARNDO ,fall/spring        ,           9 ,                                                                                  ,                                       ,EM     ,
Dissertation Research                                 ,CS799RBHAMA ,fall/spring        ,           9 ,                                                                                  ,                                       ,EM     ,
Dissertation Research                                 ,CS799RBOZSE ,fall/spring        ,           9 ,                                                                                  ,                                       ,EM     ,
Dissertation Research                                 ,CS799RCHOJI ,fall/spring        ,           9 ,                                                                                  ,                                       ,EM     ,
Dissertation Research                                 ,CS799RHOJO  ,fall/spring        ,           9 ,                                                                                  ,                                       ,EM     ,
Dissertation Research                                 ,CS799RKAMRI ,fall/spring        ,           9 ,                                                                                  ,                                       ,EM     ,
Dissertation Research                                 ,CS799RREYMA ,fall/spring        ,           9 ,                                                                                  ,                                       ,EM     ,
Dissertation Research                                 ,CS799RREYMA ,fall/spring        ,           9 ,                                                                                  ,                                       ,EM     ,
Dissertation Research                                 ,CS799RREYMA ,fall/spring        ,           9 ,                                                                                  ,                                       ,EM     ,
