class_name,class_id,recurring,credit_hours,prereqs,requirement_designation,campus,class_desc,,
Thesis,BSHES599R,spring,3,,,EM,"Enables students to apply the principles and methods learned in an academic setting through the preparation of a scholarly document embodying original research applicable to public health, incorporating a research question that has been successfully evaluated with appropriate analytical techniques and is potentially publishable or has potential public health impact.",,
Research Designs in the Behavioral and Social Sciences,BSHES710,,3,,,EM,"This course is designed to provide doctoral students with a solid understanding of research designs that are commonly used for the implementation of etiological and experiemntal research studies in the behavioral and social sciences. The course will cover examples from the field, as well examples conducted by faculty in the department. The course provides students with the fundamental language, concepts, and construts associated with the scientific approach as well as intruction in the design and implementation of health promotion research studies. Examples of appropriate applications are critical to this course and will be provided by the instructor, as well as relevant BSHE faculty. This course is intended to complement other required courses in theory, intervention development, epidemiology and advanced statistical analysis. This course meets one time per week, and students are expected to attend each class. Assigned readings serve to augment the classes. Therefore, students are expected to complete readings before the class for which they are scheduled. Classes consist of example-based didactic lecture and student-led problem solving and discussion.",,
Grant Writing and Research Ethics,BSHES712,,1,,,EM,,,
Proposal Development II,BSHES715,,2,,,EM,,,
Health Promotion Interventions,BSHES725,fall,3,,,EM,"The purpose of this course is to provide doctoral students with a deep understanding of the conceptual frameworks, values, and assumptions underlying a range of intervention strategies for solving public health problems. The course will also examine intervention design, implementation, and evaluation across various levels of social ecology.",,
Advanced Statistical Methods in the Behavioral and Social Sciences,BSHES728,spring,4,,,EM,"The general purpose of this doctoral level course is to introduce advanced topics in research methodology and statistical analysis. The first part of the course focuses on research methodology issues, while the second part focuses on data analysis and interpretation of results. Specifically, the course will: - provide the students with an understanding of current research methodology with focus on data management, analysis, and aspects of measurement. - familiarize students with advanced statistical techniques and provide students with a ""working"" knowledge of analytic techniques as they are applied in a prevention sciences research setting.  - develop the student's ability to evaluate his or her own research as well as research conducted by others. - provide students with a forum to discuss the research design and statistical analysis aspects of their own research proposals (or dissertation).",,
Structural Equation Modeling,BSHES732,,3,,,EM,This course is designed to provide doctoral students with theoretical and applied knowledge of structural equation modeling (SEM),,
"Reducing Drug-Related Harms Using Big Data: Administrative, geospatial, and network sources.",BSHES735,fall/spring,3,,,EM,"Learning to analyze administrative, network & geospatial data in the context of research & interventions for substance use disorders & drug-related harms.",,
Directed Study,BSHES797R,fall/spring/summer,2,,,EM,Provides in-depth exposure to an advanced special topic not covered in regular courses.,,
Research Hours,BSHES798R,fall/spring,2,,,EM,This course is designed for students to participate at advanced levels on specific scholarly research or developmental projects. Students will work independently as a statistical consultant and will collaborate with other researchers in a variety of settings.,,
Dissertation Research,BSHES799R,fall/spring,2,,,EM,,,
BBA Board Room,BUS300,fall/spring,5,,,EM,"Board Rooms build community, engagement, and cohesion while connecting students to each other and to resources at Goizueta. Each student will stay in the same Room for their tenure in the program. Cohorts will meet monthly, with 1-2 additional community events offered each semester. Each Room will have one lead faculty/staff member. At each meeting, specific content around a provided subject will be developed and led by the student members. Individual sessions will feature program announcements, a student-led discussion of a contemporary problem, networking, and celebration of achievements.",,
BBA Boardroom B,BUS300B,fall/spring,5,,,EM,"Board Rooms build community, engagement, and cohesion while connecting students to each other and to resources at Goizueta. Each student will stay in the same Room for their tenure in the program. Cohorts will meet monthly, with 1-2 additional community events offered each semester. Each Room will have one lead faculty/staff member. At each meeting, specific content around a provided subject will be developed and led by the student members. Individual sessions will feature program announcements, a student-led discussion of a contemporary problem, networking, and celebration of achievements.",,
Data and Decision Analytics,BUS350,fall/spring,3,MATH_OX117 or MATH207 or MATH_OX207 or MATH362 or ECON220 or ECON_OX220 or QTM100 or QTM_OX100 or QTM110 or QTM_OX110 or SOC275 or QTM999X or ISOM350 or BUS350,,EM,"Teaches students to deal with, manipulate, and gain insight from data to solve problems in the 21st-century business context. Students will analyze business data and perform predictive analytics by working with real-world data across a variety of industries and business contexts to engage in applied problem-solving. The class will familiarize students with a set of increasingly sophisticated tools and techniques (models and methodologies) for data-based business decision making. Students will additionally be exposed to a variety of technological tools commonly used in business analytics.",,
Business Communication Strategy,BUS365,fall/spring,3,,,EM,"Communication skills are critical to your success at Goizueta. Business Communication Strategy creates the foundation for strong communication & introduces the dynamics of interpersonal & organizational communication. You will create, develop, & deliver professional presentations & documents, individually and in a team. Through the DISC® assessment, you will increase your self-awareness, which helps you identify your most productive communication style.",,
Professional Development,BUS380,fall/spring,2,,,EM,"Professional Development is composed of a series of sessions and assignments intended to help you prepare for your career and position you for success at Goizueta and beyond.  Professional Development incorporates career education and exploration with tools you'll use to successfully navigate your internship search.  You will learn about different industries and functions, you will explore how your personal interests align with potential careers, you will develop and refine your personal brand, and you will sharpen your interview skills.  After you complete this course, you will have a list of target companies, you will have started to build your professional network, and you will have laid the foundation for a successful internship and full-time search at Goizueta.  You will have a better understanding of yourself and your interests, and you'll be able to articulate your experiences through your personal brand materials, networking, and interviews.",,
Personal Development,BUS381,fall/spring,5,,,EM,"Focuses on personal skills to help students better understand themselves and their strengths and weaknesses. Students will learn about scientifically validated aspects of personality and the opportunities and challenges they present in professional environments. Students will be given feedback from peers, supervisors, and professors about how they are viewed in work environments and what challenges and opportunities these perceptions offer. As a result of this course, students will be better equipped to navigate ambiguity and will increase their comfort levels with uncertainty.",,
Experiential Team Dynamics and Leadership,BUS383,fall/spring,5,,,EM,"This course will assist students in navigating the intricacies of working in teams. Students will build teamwork and leadership skills and will engage in debriefing, reflection, and coaching. Recommended to be taken in junior year.",,
Special Topics in Business: Building AI Solutions,BUS399R,fall,3,,,EM,Special Topics in Business,,
Study Abroad BUS Elective (Related Elective),BUS400,,6,,,EM,,,
Study Abroad BUS Elective (Global Elective),BUS401,,6,,,EM,,,
Senior Seminar: Applied Field Experience,BUS480,fall/spring,1,,,EM,"Senior seminar courses fall outside the scope of traditional academic coursework, and instead allow students to learn from and interact with experienced practitioners, and to develop industry-specific insights, fine-tune career skills, and increase professional exposure.",,
Senior Seminar: Customer Success/Subscription,BUS480,fall/spring,1,,,EM,"Senior seminar courses fall outside the scope of traditional academic coursework, and instead allow students to learn from and interact with experienced practitioners, and to develop industry-specific insights, fine-tune career skills, and increase professional exposure.",,
Senior Seminar: Civil Rights and Basketball,BUS480,fall/spring,1,,,EM,"Senior seminar courses fall outside the scope of traditional academic coursework, and instead allow students to learn from and interact with experienced practitioners, and to develop industry-specific insights, fine-tune career skills, and increase professional exposure.",,
Senior Seminar: Developing Prof.Competencies,BUS480,fall/spring,1,,,EM,"Senior seminar courses fall outside the scope of traditional academic coursework, and instead allow students to learn from and interact with experienced practitioners, and to develop industry-specific insights, fine-tune career skills, and increase professional exposure.",,
Senior Seminar: Leadership Development,BUS480,fall/spring,1,,,EM,"Senior seminar courses fall outside the scope of traditional academic coursework, and instead allow students to learn from and interact with experienced practitioners, and to develop industry-specific insights, fine-tune career skills, and increase professional exposure.",,
Senior Seminar: Psychology of Leadership,BUS480,fall/spring,1,,,EM,"Senior seminar courses fall outside the scope of traditional academic coursework, and instead allow students to learn from and interact with experienced practitioners, and to develop industry-specific insights, fine-tune career skills, and increase professional exposure.",,
Senior Seminar: Strategies for Persuasion in Business,BUS480,fall/spring,1,,,EM,"Senior seminar courses fall outside the scope of traditional academic coursework, and instead allow students to learn from and interact with experienced practitioners, and to develop industry-specific insights, fine-tune career skills, and increase professional exposure.",,
Senior Seminar: Fourth Dimensional Investing,BUS480,fall/spring,1,,,EM,"Senior seminar courses fall outside the scope of traditional academic coursework, and instead allow students to learn from and interact with experienced practitioners, and to develop industry-specific insights, fine-tune career skills, and increase professional exposure.",,
Senior Seminar,BUS480,fall/spring,1,,,EM,"Senior seminar courses fall outside the scope of traditional academic coursework, and instead allow students to learn from and interact with experienced practitioners, and to develop industry-specific insights, fine-tune career skills, and increase professional exposure.",,
Senior Seminar: The Business of Film,BUS480,fall/spring,1,,,EM,"Senior seminar courses fall outside the scope of traditional academic coursework, and instead allow students to learn from and interact with experienced practitioners, and to develop industry-specific insights, fine-tune career skills, and increase professional exposure.",,
Senior Seminar: The Crushing Real.of Space Bus,BUS480,fall/spring,1,,,EM,"Senior seminar courses fall outside the scope of traditional academic coursework, and instead allow students to learn from and interact with experienced practitioners, and to develop industry-specific insights, fine-tune career skills, and increase professional exposure.",,
Senior Seminar: Excel for Intermediate Users,BUS480,fall/spring,1,,,EM,"Senior seminar courses fall outside the scope of traditional academic coursework, and instead allow students to learn from and interact with experienced practitioners, and to develop industry-specific insights, fine-tune career skills, and increase professional exposure.",,
Senior Seminar: Innovation Everywhere,BUS480,fall/spring,1,,,EM,"Senior seminar courses fall outside the scope of traditional academic coursework, and instead allow students to learn from and interact with experienced practitioners, and to develop industry-specific insights, fine-tune career skills, and increase professional exposure.",,
Senior Seminar: Real Estate Topics,BUS480,fall/spring,1,,,EM,"Senior seminar courses fall outside the scope of traditional academic coursework, and instead allow students to learn from and interact with experienced practitioners, and to develop industry-specific insights, fine-tune career skills, and increase professional exposure.",,
Senior Seminar: Building Career in Advertising,BUS480,fall/spring,1,,,EM,"Senior seminar courses fall outside the scope of traditional academic coursework, and instead allow students to learn from and interact with experienced practitioners, and to develop industry-specific insights, fine-tune career skills, and increase professional exposure.",,
Senior Seminar: Igherighe Quant-preneur Method,BUS480,fall/spring,1,,,EM,"Senior seminar courses fall outside the scope of traditional academic coursework, and instead allow students to learn from and interact with experienced practitioners, and to develop industry-specific insights, fine-tune career skills, and increase professional exposure.",,
Senior Seminar: Business Etiquette,BUS480,fall/spring,1,,,EM,"Senior seminar courses fall outside the scope of traditional academic coursework, and instead allow students to learn from and interact with experienced practitioners, and to develop industry-specific insights, fine-tune career skills, and increase professional exposure.",,
Study Abroad,BUS494,fall/spring,2,,,EM,,,
Advanced Internship,BUS496C,fall/spring,1,,,EM,"The goal of the Internship course is to is to enhance the value of an internship by helping each student apply what they learn in the classroom to the workplace. Students will reflect on their internship experience to identify the skills they are building, and the work they are doing to determine how these areas inform their career progression. The course is conducted virtually and is self-paced, requiring weekly responses and the submission of short essays. The course is for students who will have an internship for the Fall or Spring term only. International students may enroll in the course to meet CPT requirements if they have previously taken BUS480. Domestic students may enroll in the course when participating in a second unpaid internship in order to fulfill employer requirements to receive academic credit. Domestic students participating in paid internships are not eligible to enroll in this course. Students may not use the same internship to enroll in the course a second time.",,
Goizueta IMPACT,BUS500,,3,,,EM,CORE,,
Leadership Decision Making & Teams,BUS500M,spring,1,,,EM,"This one credit-hour seminar is designed for students in the Master in Management program in conjunction with, and in preparation for, optimal participation in the immersive experiential elective. In tandem, this skills-based seminar and the content-rich immersive elective will endow you with the capacity to apply functional business frameworks to add value in an organizational setting. The seminar has three components in which you will build mastery, personal leadership development, effective organizational problem solving, and optimal team engagement. You will identify and develop your leadership competencies and apply them at a professional level in a team setting. Through a series of exercises, you will develop a systematic process for analyzing complex problems and making actionable recommendations.  You will be prepared to utilize these skills and frameworks in your immersive project.",,
Valued Based Healthcare Delivery,BUS504M,,5,,,EM,,,
Washington Campus,BUS536,fall/spring,3,,,EM,"An intensive, experiential residency course that brings together students & policy makers & executives who teach how government works & how public policy is made; how specific organizations & industries are affected; & how public affairs & public policy can be effectively & ethically managed .This course is delivered by The Washington Campus, a non-partisan, non-profit, higher education consortium & managed by the faculty of record.",,
Global Experiential Module: South Africa,BUS571R,fall/spring,1,,,EM,,,
Global Experiential Module: South Korea,BUS571R,fall/spring,1,,,EM,,,
Goizueta Plus,BUS591A,,0,,,EM,"Provides a foundation for professional development that continues throughout your MBA education, and beyond. Cornerstone has three main focus areas: Leadership and Teamwork, Presentation Skills, and Professional Development. Each area is essential to the overall development and success of the MBA student and professional. Focusing on Leadership and Teamwork, Presentation Skill, Professional Development Series.",,
Special Topics: Transitioning Boots to Loafers,BUS599S,fall/spring,5,,,EM,This course is designed to offer a number of the new course topic.,,
Special Topics: Bus. Communications Strategy,BUS599S,fall/spring,1,,,EM,This course is designed to offer a number of the new course topic.,,
Special Topics: Legal Env and Business Ethics,BUS599S,fall/spring,1,,,EM,This course is designed to offer a number of the new course topic.,,
Immersive Project Elective,BUS600M,spring,3,,,EM,"In this course students will work with an external organization to address a problem or research issues of strategic importance. Instructors will prepare students in the classroom to research, analyze, and develop insights. In teams students will then develop a culminating set of final recommendations presented to a panel of constituents and judges. Projects will be developed on student interest to include opportunities working with challenges related to: sustainability, global economic development, marketing and communications, non-profit outreach, health and wellness and/or entrepreneurship. Students will put theory into action, gain exposure to a professional organizational setting, blend liberal arts background with business knowledge, work in teams, solve complex multi-layered problems, and acquire experience and transferable skills.",,
Goizueta Adv. Leader Academy,BUS692,,1,,,EM,,,
Study Abroad: H.E.C.-France,BUS694,,8,,,EM,"Enroll in academic courses through our respected international partner institutions. Participate in an Emory approved study abroad program, a unique opportunity to gain immersive educational experiences while earning credit in diverse subject areas. This program allows you to expand your academic horizons, engage with different cultural perspectives, and enhance your global understanding through direct enrollment in courses that complement your educational journey at Goizueta Business School.",,
Study Abroad: London School of Economics,BUS694,,8,,,EM,"Enroll in academic courses through our respected international partner institutions. Participate in an Emory approved study abroad program, a unique opportunity to gain immersive educational experiences while earning credit in diverse subject areas. This program allows you to expand your academic horizons, engage with different cultural perspectives, and enhance your global understanding through direct enrollment in courses that complement your educational journey at Goizueta Business School.",,
Study Abroad: Stockholm School of Economics,BUS694,,8,,,EM,"Enroll in academic courses through our respected international partner institutions. Participate in an Emory approved study abroad program, a unique opportunity to gain immersive educational experiences while earning credit in diverse subject areas. This program allows you to expand your academic horizons, engage with different cultural perspectives, and enhance your global understanding through direct enrollment in courses that complement your educational journey at Goizueta Business School.",,
Study Abroad: Warwick,BUS694,,8,,,EM,"Enroll in academic courses through our respected international partner institutions. Participate in an Emory approved study abroad program, a unique opportunity to gain immersive educational experiences while earning credit in diverse subject areas. This program allows you to expand your academic horizons, engage with different cultural perspectives, and enhance your global understanding through direct enrollment in courses that complement your educational journey at Goizueta Business School.",,
Study Abroad: Doing Business in Mexico,BUS694,,8,,,EM,"Enroll in academic courses through our respected international partner institutions. Participate in an Emory approved study abroad program, a unique opportunity to gain immersive educational experiences while earning credit in diverse subject areas. This program allows you to expand your academic horizons, engage with different cultural perspectives, and enhance your global understanding through direct enrollment in courses that complement your educational journey at Goizueta Business School.",,
Study Abroad: Bus & Society Module:Guatamala,BUS694,,1,,,EM,"Enroll in academic courses through our respected international partner institutions. Participate in an Emory approved study abroad program, a unique opportunity to gain immersive educational experiences while earning credit in diverse subject areas. This program allows you to expand your academic horizons, engage with different cultural perspectives, and enhance your global understanding through direct enrollment in courses that complement your educational journey at Goizueta Business School.",,
Study Abroad,BUS694A,,8,,,EM,"BUS 694A offers students a unique, full-immersion experience in global business practices. This short course abroad is designed to allow students to enroll directly in a local university, engaging with the local academic community and industry leaders to gain firsthand knowledge of international business approaches and analysis. Due to the intensive nature of the administrative coordination required for this program, including liaising with multiple global entities and managing complex logistics, an increased administrative fee is applied. This fee covers the additional support services Emory University provides to ensure a seamless and enriching educational experience abroad. Students should prepare for a rigorous academic schedule complemented by networking opportunities with local business leaders and students from other universities.",,
Study Abroad,BUS694B,,8,,,EM,"BUS 694B extends a total immersion experience to students eager to dive deep into global business strategy within a different cultural framework. Participants will enroll at a partner institution abroad, gaining exposure to new strategic perspectives and cultural contexts. This course is tailored for students to explore international business strategies through classroom instruction and practical, real-world application. BUS 694B focuses on the academic engagement, offering students a comprehensive understanding of global markets and the opportunity to apply theoretical knowledge in a diverse setting. Due to the administrative coordination involved in this program, including liaising with multiple global entities, a modest administrative fee is applied.",,
Applied Practicum,BUS696,,3,,,EM,Practicum,,
Applied Practicum,BUS696,,2,,,EM,Practicum,,
Directed Study: Patient Surges at CHOA,BUS697,,3,,,EM,,,
Directed Study: Cons Behavior and Psyc.,BUS697,,3,,,EM,,,
Directed Study: MBA Learning Lab,BUS697,,5,,,EM,,,
Directed Study: Search Fund,BUS697,,3,,,EM,,,
Directed Study: Leadership,BUS697,,3,,,EM,,,
Directed Study: Innovation Certificate,BUS697,,3,,,EM,,,
Directed Study: Commercialization Excellence,BUS697,,3,,,EM,,,
Directed Study: Psych Perspec. Org Leadership,BUS697,,3,,,EM,,,
Directed Study: Service Lines at Emory,BUS697,,3,,,EM,,,
Directed Study: Management Sci for Strat Org,BUS697,,3,,,EM,,,
Directed Study: Utilizing Cascade Framework,BUS697,,3,,,EM,,,
Directed Study: Real Estate Mkt Research,BUS697,,3,,,EM,,,
Directed Study: USPS Business Environ,BUS697,,3,,,EM,,,
Directed Study: Best Practice for Profit,BUS697,,3,,,EM,,,
Directed Study: Reg. Appr. Process,BUS697,,3,,,EM,,,
Directed Study: Coffee in Storytelling,BUS697,,3,,,EM,,,
Directed Study: Applied Content Marketing,BUS697,,3,,,EM,,,
Directed Study: Marriage Industry in India,BUS697,,3,,,EM,,,
Directed Study: Venture Commercializing,BUS697,,3,,,EM,,,
Directed Study: Playing to Lead,BUS697,,3,,,EM,,,
Directed Study: Bankruptcy Finance Course,BUS697,,3,,,EM,,,
Directed Study: Moji: Work Breakdown,BUS697,,3,,,EM,,,
Directed Study: MBA Learning Lab,BUS697,,3,,,EM,,,
Directed Study: Work Life Design,BUS697,,3,,,EM,,,
Directed Study: Comp Analysis & App of Lev Fin,BUS697,,3,,,EM,,,
Directed Study: Student Leadership ValAnalysis,BUS697,,3,,,EM,,,
Directed Study: Honduran Coffee Alliance,BUS697,,3,,,EM,,,
Directed Study: Legacy Creation in Grad Progr,BUS697,,3,,,EM,,,
Directed Study,BUS697,,3,,,EM,,,
Directed Study: Culture Change in Emory DPT,BUS697,,2,,,EM,,,
Directed Study: AI Decision Making,BUS697,,3,,,EM,,,
International Module: Italy,BUS698,,2,,,EM,EVMBA,,
International Module,BUS699,,3,,,EM,International Travel,,
Directed Study,BUS797R,,3,,,EM,"The course provides a more in-depth study on specific topics that will result in readings, discussions, research, and sometimes project presentations.",,
Directed Study: Coffee in Storytelling,BUS797R,,3,,,EM,"The course provides a more in-depth study on specific topics that will result in readings, discussions, research, and sometimes project presentations.",,
Pre-Candidacy Dissertation Research,BUS798R,,9,,,EM,Students are supervised by their advisor as they work on research for their dissertation leading up to applying for candidacy.,,
Dissertation,BUS799R,,9,,,EM,Students who have reached candidacy and are working on dissertation completion are enrolled in this course and supervised by their advisor as they complete their degree requirements.,,
Non-Business Elective Abroad,BUS990,fall/spring,6,,,EM,,,
Non-Business Elective Abroad-Global,BUS991,fall/spring,6,,,EM,,,
Non-Business Elective Abroad-HAL,BUS992,fall/spring,6,,Humanities Arts Language Foreign Language,EM,,,
Non-Bus Elective Abroad-HAP,BUS993,fall/spring,6,,Humanities Arts Performance,EM,,,
Seminar Abroad,BUS995,fall/spring,6,,,EM,,,
Principles of Cancer Biology II,CB534,,7,CB533,,EM,"Understanding the fundamental principles of cancer including cancer genetics, the biology of cancer development, and treatment.",,
Introductory Graduate Seminar,CB570R,,2,,,EM,,,
Laboratory Rotations,CB597R,fall/spring/summer,9,,,EM,,,
Thesis Research (Master Level),CB599R,,9,,,EM,Students are conducting research towards a masters thesis.,,
Advanced Graduate Research,CB699R,,9,,,EM,Advanced Graduate Research,,
Advanced Graduate Seminar,CB790R,,2,,,EM,,,
Dissertation Research,CB799R,,9,,,EM,,,
Planning Community Initiatives,CBSC370B,,4,,Experience and Application,EM,Open only to students admitted as fellows in the program in Community Building and Social Change.,,
Planning Comm.Initiatives-Lab,CBSC370L,,1,,,EM,Open only to students admitted as fellows in the program in Community Building and Social Change.,,
The Church and Disabilities,CC612,,3,,,EM,"This course introduces students to disability studies and theologies emerging from the disabilities community. Students will have the opportunity to examine the architecture, as well as religious practices of inclusion/exclusion of a variety of congregations. Preaching, religious education, worship and sacramental life, congregational leadership and ordination, fellowship, mission and outreach ministries, and denominational statements/policies, will be observed and critiqued with the hope of full inclusion of those with intellectual and physical disabilities. (SR612CEE when offered as a Contextual Education Elective).",,
Ethnographic Research for Ministry in Congregations and Local Communities,CC622,,3,,,EM,"Ethnography is a social scientific approach to studying human behavior and the cultural patterns of communities, congregations, and institutions. Pastoral practitioners have adopted ""theological ethnography"" as a method for garnering more extensive knowledge about ministry in congregational settings and local communities. In this course, students will be introduced to ethnography as social research requiring participation in fieldwork. Learners will apply basic techniques of ethnography, form the development of a research question to analysis of collected data, to better understand the religious practices of Christian communities, the lived realities of social groups, and social change.",,
Contextual Education I Integrative Seminar: Arrendale Prison,CE551B,spring,3,,,EM,"For Contextual Education 1, first-year MDiv students choose a social service or clinical setting unless they enroll in the Teaching Parish or Episcopal Studies track. Four hours of weekly engagement at these sites during the entire academic year give students the opportunity to experience various ministries, contexts, and pastoral relationships. In the first semester, students meet weekly in their 90-minute Contextual Education I site Reflection Group led by their site supervisor. In the second semester, students continue working four hours per week at the same Contextual Education I site. Students meet with a faculty member (usually their academic adviser) and their site supervisor for a weekly, two-hour Integrative Seminar. An evaluation is made at the end of each semester and an in progress (IP) grade is assigned at the end of the first semester if the student is performing satisfactorily. To receive credit, the student must satisfactorily complete two consecutive semesters.",,
Contextual Education I Integrative Seminar: Campbell-Stone Apartments,CE551B,spring,3,,,EM,"For Contextual Education 1, first-year MDiv students choose a social service or clinical setting unless they enroll in the Teaching Parish or Episcopal Studies track. Four hours of weekly engagement at these sites during the entire academic year give students the opportunity to experience various ministries, contexts, and pastoral relationships. In the first semester, students meet weekly in their 90-minute Contextual Education I site Reflection Group led by their site supervisor. In the second semester, students continue working four hours per week at the same Contextual Education I site. Students meet with a faculty member (usually their academic adviser) and their site supervisor for a weekly, two-hour Integrative Seminar. An evaluation is made at the end of each semester and an in progress (IP) grade is assigned at the end of the first semester if the student is performing satisfactorily. To receive credit, the student must satisfactorily complete two consecutive semesters.",,
"Contextual Education I Integrative Seminar: Metro RYDC, DJJ",CE551B,spring,3,,,EM,"For Contextual Education 1, first-year MDiv students choose a social service or clinical setting unless they enroll in the Teaching Parish or Episcopal Studies track. Four hours of weekly engagement at these sites during the entire academic year give students the opportunity to experience various ministries, contexts, and pastoral relationships. In the first semester, students meet weekly in their 90-minute Contextual Education I site Reflection Group led by their site supervisor. In the second semester, students continue working four hours per week at the same Contextual Education I site. Students meet with a faculty member (usually their academic adviser) and their site supervisor for a weekly, two-hour Integrative Seminar. An evaluation is made at the end of each semester and an in progress (IP) grade is assigned at the end of the first semester if the student is performing satisfactorily. To receive credit, the student must satisfactorily complete two consecutive semesters.",,
Contextual Education I Integrative Seminar: New American Pathways,CE551B,spring,3,,,EM,"For Contextual Education 1, first-year MDiv students choose a social service or clinical setting unless they enroll in the Teaching Parish or Episcopal Studies track. Four hours of weekly engagement at these sites during the entire academic year give students the opportunity to experience various ministries, contexts, and pastoral relationships. In the first semester, students meet weekly in their 90-minute Contextual Education I site Reflection Group led by their site supervisor. In the second semester, students continue working four hours per week at the same Contextual Education I site. Students meet with a faculty member (usually their academic adviser) and their site supervisor for a weekly, two-hour Integrative Seminar. An evaluation is made at the end of each semester and an in progress (IP) grade is assigned at the end of the first semester if the student is performing satisfactorily. To receive credit, the student must satisfactorily complete two consecutive semesters.",,
Contextual Education I Integrative Seminar: Toco Hills Community Ministry,CE551B,spring,3,,,EM,"For Contextual Education 1, first-year MDiv students choose a social service or clinical setting unless they enroll in the Teaching Parish or Episcopal Studies track. Four hours of weekly engagement at these sites during the entire academic year give students the opportunity to experience various ministries, contexts, and pastoral relationships. In the first semester, students meet weekly in their 90-minute Contextual Education I site Reflection Group led by their site supervisor. In the second semester, students continue working four hours per week at the same Contextual Education I site. Students meet with a faculty member (usually their academic adviser) and their site supervisor for a weekly, two-hour Integrative Seminar. An evaluation is made at the end of each semester and an in progress (IP) grade is assigned at the end of the first semester if the student is performing satisfactorily. To receive credit, the student must satisfactorily complete two consecutive semesters.",,
Con Ed lb for Teaching Parish,CE551TPB,spring,3,,,EM,"First-year MDiv students who are in the Teaching Parish Program may enroll for CE551TPa,b in lieu of CE551a,b. Participants are assigned to student pastor groups in respective districts under the leadership of the teaching parish supervisory pastors, United Methodist ministers who serve as Candler adjunct faculty. Coursework is experiential and collegial in nature, with studentpastors engaging in practice and reflection on a variety of ministerial activities (e.g., preaching, systems analysis, planning, and teaching).",,
Anglican Studies Seminar,CE553ANGR,,2,,,EM,"Credit, two hours per semester after completion of CE551ANGa,b and CE552ANGa,b. (Lowrey) For postulants preparing for ordination in the Episcopal church or other Anglican traditions. Students are placed as interns in parish settings and participate each week in a two-hour reflection seminar, which examines the parish as a situation of ministry. The class analyzes specific church ministry situations, acts of ministry, priorities and dilemmas of ministry, and development of an operational theory of ministry.",,
Teaching Parish Seminar,CE553TPR,fall/spring,2,,,EM,"This course is taken after the completion of the CE551TPa,b and CE552TPa,b sequences. Participants are assigned to student pastor groups in respective districts under the leadership of the teaching parish supervisory pastors, United Methodist ministers who serve as Candler adjunct faculty. Coursework is experiential and collegial in nature, with student-pastors engaging in practice and reflection on a variety of ministerial activities (e.g., preaching, systems, analysis, planning, and teaching).",,
Conextual Education IIB for Episcopal & Anglican Studies,CE600ANGB,spring,3,CE600A,,EM,"Spring (Part 2) of 2nd year EAS Contextual Education. Prerequisites: CE 600ANGA. For postulants preparing for ordination in the Episcopal church or other Anglican traditions. Students are placed as interns in parish settings and participate each week in a two-hour reflection seminar, which examines the parish as a situation of ministry. The class analyzes specific church ministry situations, acts of ministry, priorities and dilemmas of ministry, and development of an operational theory of ministry.",,
Contexual Education IIB,CE600B,spring,3,CE600A,,EM,"Spring (Part 2) of Contextual Education II. Prerequisite CE600A in Fall of the same year. Second-year MDiv students who are not in the Teaching Parish or EAS Programs choose an ecclesial setting that shares a life of worship as well as ministry. The student's work in the ecclesial setting is supervised by a site mentor. Students meet in reflection groups each semester. These groups inquire into the history, meaning, and execution of the practices of an ecclesial community. Students remain in the same placement and small group for two semesters. An evaluation is made at the end of each semester, and an IP (in progress) grade is assigned at the end of the first semester if the student is performing satisfactorily. To receive credit, the student must satisfactorily complete two consecutive semesters.",,
Clinical Pastoral Education for Contextual Education IIB,CE600CPEB,spring,3,CE600C,,EM,"Clinical Pastoral Education (CPE) completed for Con Ed IIB credit. Students will participate in an accredited CPE experience and in accompanying Candler components. A grade of IP will be awarded at the end of the fall semester until the Spring portion (CE 600CPEB) is completed successfully, at which point a grade of ""S"" will be awarded for both parts A and B",,
Contextual Education IIB for Teaching Parish,CE600TPB,spring,3,CE600T,,EM,"Spring (Part 2) of 2nd Year Teaching Parish. Second-year MDiv students who are in the Teaching Parish Program may enroll in CE600TPa,b to fulfill the Con Ed II requirement. Participants are assigned to student pastor groups in respective districts under the leadership of the teaching parish supervisory pastors: ordained ministers who serve as Candler adjunct faculty. Coursework is experiential and collegial in nature, with student-pastors engaging in practice and reflection on a variety of ministerial activities (e.g., preaching, systems analysis, pastoral care, and teaching). At the end of Part A a grade of IP is awarded for successful completion of the Fall semester. At the end of the Spring semester, a grade of S is awarded for both Fall and Spring upon successful completion of the Spring semester portion.",,
Internship,CE695R,fall/spring/summer,2,,,EM,"Internships are a student initiated practical experience for which the student gains academic credit at Candler. Students can intern with a church, an agency, or with an existing internship program. Students must have a Candler faculty member and an approved placement supervisor identified to direct the internship. Internships provide students with an opportunity to tailor their course of study by meeting specific ministry-learning goals they have, to enrich and/or complement their courses, to provide more depth to a particular aspect of ministry, or greater exposure to a broader range of ministry. It also can be an important avenue for discernment of the student's professional ministry and calling. Candler also offers a number of summer internships that feature paid positions in congregations. Designed to foster more intensive formation and proficiency in the practice of ministry, these internships include online mentoring and an online reflection group, so students get the maximum benefit from this immersion experience.",,
